Region,Site,Date,TN,TP,PhytoCHLa,PeriCHLa,DOC,Temp
IBP,IBP-C,07/06/2011,0.6275447,13.995228,1.14104,3.39491622,20.19095,8.48
IBP,IBP-D,07/06/2011,1.04288087,9.817548,0.58453333,0,19.98556,10
IBP,IBP-E,07/06/2011,0.75406205,32.462552,1.18285714,1.83096605,21.85246,8.02
IBP,IBP-J,07/06/2011,0.89717159,1.879956,0.75144,0,17.32026,9.5
BEO,ITEX-N,07/07/2011,2.20009786,24.439428,0.95488,4.11252141,29.71602,6.89
BEO,ITEX-S,07/07/2011,1.75550834,36.654632,1.57944,6.72307847,34.23575,7.06
BRW,AHMA,07/28/2011,1.74737698,82.091412,1.1568,33.8442631,24.96373,11.53
BRW,AHMA-2,07/28/2011,2.07738407,76.5977628,0.84528,3.64762768,32.07252,11.32
BRW,BOXER,07/28/2011,3.63188088,100.890972,2.76328421,9.92965313,41.39669,9.17
BRW,BOXER-2,07/28/2011,5.20132261,105.841523,1.17256,20.9798193,33.54495,9.71
BRW,UTIQ,07/28/2011,2.29421632,85.64244,1.46984,8.1535207,34.12915,11.88
IBP,IBP-B,07/29/2011,1.06303782,38.225772,1.24912,0,19.74219,10.55
IBP,IBP-C,07/29/2011,0.72962397,33.42144,1.70677895,6.19034508,20.26923,10.79
IBP,IBP-D,07/29/2011,1.06318595,11.906388,1.46832,7.75422173,19.68703,10.68
IBP,IBP-E,07/29/2011,0.7406172,50.758812,2.29632,0,20.87079,10.45
IBP,IBP-J,07/29/2011,0.91699909,35.51028,1.60944,7.16342389,17.53377,10.81
BEO,ITEX-N,07/30/2011,1.81363981,43.1763228,4.48402051,2.83227561,25.94295,7.47
BEO,ITEX-S,07/30/2011,1.84992215,52.847652,2.08288,0,29.61591,7.53
BEO,PRP,07/31/2011,1.01316251,21.982352,1.38791111,0,11.35829,9.58
BEO,WL02,07/31/2011,1.71311536,9.817548,1.74533333,0,22.19224,9.9
BEO,WL03,07/31/2011,1.30602367,30.366512,1.33942857,3.12194016,21.13542,9.3
BEO,ITEX-N,08/13/2011,2.22335457,61.203012,1.61226667,1.28739801,25.78964,8.26
BEO,ITEX-S,08/13/2011,1.26522141,71.647212,3.4944,1.19203519,25.74893,8.8
BEO,PRP,08/14/2011,0.62448983,46.581132,1.85944,12.635573,10.86418,7.17
BEO,WL02,08/14/2011,1.19388299,44.492292,2.39016,10.2515026,20.95358,6.35
BEO,WL03,08/14/2011,1.39055828,46.581132,2.28056,,17.56764,6.58
BRW,AHMA,08/17/2011,2.27208353,47.416668,2.72048,9.83429032,32.1973,6.16
BRW,AHMA-2,08/17/2011,3.28515772,110.081868,2.27904,0.643699,32.73152,6.53
BRW,BOXER,08/17/2011,3.55220642,49.505508,2.8714955,8.1535207,36.51698,5.96
BRW,BOXER-2,08/17/2011,2.15626317,312.699348,1.50288,11.550821,37.32642,6.18
IBP,IBP-B,08/17/2011,0.44098738,44.492292,1.02992,0,17.14248,5.35
IBP,IBP-C,08/17/2011,1.17915352,36.136932,1.35872,2.22910581,17.92858,5.42
IBP,IBP-D,08/17/2011,1.02835698,11.906388,1.56216,0,20.08182,5.52
IBP,IBP-E,08/17/2011,1.60117935,29.870412,2.72048,1.82381384,17.5134,5.48
IBP,IBP-J,08/17/2011,1.11597968,38.225772,1.34296,1.01322991,16.3459,5.03
BRW,UTIQ,08/17/2011,2.54730937,34.558592,1.656,12.3614049,32.34164,6.5
BEO,ITEX-N,06/11/2012,0.867583,52.027724,1.72056,15.4645,10.2387287,5.21
BEO,ITEX-S,06/11/2012,0.808572,52.027724,1.03144,13.5784,10.7508397,4.54
BEO,PRP,06/11/2012,0.530222,35.751044,0.62456,5.5765,6.800173,2.53
BEO,WL02,06/11/2012,0.862551,48.410684,1.06296,4.3483,8.97988857,8.5
BEO,WL03,06/11/2012,0.884031,41.176604,2.09288,17.1835,9.72321252,9.72
IBP,IBP-B,06/14/2012,0.606891,32.134004,0.40688,9.5068,10.3986511,5.83
IBP,IBP-C,06/14/2012,0.474338,26.708444,0.45377778,8.9132,10.5643829,6.35
IBP,IBP-D,06/14/2012,0.934817,30.325484,0.22604444,16.2434,12.6651597,6.94
IBP,IBP-E,06/14/2012,0.535936,35.751044,0.43457778,15.0233,11.8941033,6.56
IBP,IBP-J,06/14/2012,1.102996,33.942524,0.52867368,5.9009,10.4839163,7.29
BEO,ITEX-N,07/02/2012,0.606792,29.602076,1.57792,1.4064,21.4675974,8.75
BEO,ITEX-S,07/02/2012,1.651198,33.219116,1.04568,6.4937,27.1790578,9.65
BEO,PRP,07/02/2012,1.830464,31.410596,1.37525333,1.2877,13.1224161,8.9
BEO,WL02,07/02/2012,0.97488,47.687276,0,1.7104,22.9676714,8.13
BEO,WL03,07/02/2012,0.889679,29.602076,3.71584,1.4735,26.0459212,8.36
IBP,IBP-B,07/05/2012,1.062878,20.01692,0.92336,6.7764,18.0122929,9.82
IBP,IBP-C,07/05/2012,1.354231,27.251,0.93912,4.7989,16.7615672,10.2
IBP,IBP-D,07/05/2012,0.88326,18.2084,2.28056,4.2892,21.1305699,10.6
IBP,IBP-E,07/05/2012,1.188297,25.44248,3.54848,4.1432,16.5530213,10.62
IBP,IBP-J,07/05/2012,1.829143,38.10212,0.73568,5.4427,15.3812804,11.82
BEO,ITEX-N,07/23/2012,2.193378,46.602164,0.98694737,12.972,27.3027703,17.9
BEO,ITEX-S,07/23/2012,1.915798,24.899924,1.39545263,7.9607,27.059084,20.48
BEO,PRP,07/23/2012,0.834764,77.347004,0.82648,6.8707,16.2001164,17.19
BEO,WL02,07/23/2012,2.511219,62.878844,2.71864615,4.7097,30.6940155,18.27
BEO,WL03,07/23/2012,3.972,70.112924,2.20432941,3.7021,31.5397587,16.31
IBP,IBP-B,07/26/2012,1.362598,27.793556,1.656,6.135,22.3338301,12.45
IBP,IBP-C,07/26/2012,1.057263,25.985036,1.45408,2.2644,22.5840714,12.44
IBP,IBP-D,07/26/2012,2.412398,40.453196,3.35605333,2.1243,24.7013243,12.87
IBP,IBP-E,07/26/2012,0.554927,13.325396,1.36123077,5.5341,20.0329564,12.73
IBP,IBP-J,07/26/2012,2.641151,11.516876,1.45256,3.4741,21.3821458,13.44
IBP,IBP-B,08/09/2012,0.689396,18.750956,0.95336,2.7329,19.5703421,6.51
IBP,IBP-C,08/09/2012,0.76699,25.985036,1.4556,2.9748,18.7931722,6.59
IBP,IBP-D,08/09/2012,3.845425,20.559476,4.28004103,5.1067,22.3492071,6.57
IBP,IBP-E,08/09/2012,2.200368,16.942436,1.76712,4.0993,18.1329535,6.66
IBP,IBP-J,08/09/2012,1.641675,9.708356,2.71351579,6.9934,17.3012723,6.77
BEO,PRP,08/12/2012,0.924017,9.708356,0.87157895,5.0854,10.329705,6.63
BEO,WL02,08/12/2012,0.86952,39.91064,11.9515429,3.585,21.4914233,6.42
BEO,WL03,08/12/2012,0.664977,27.793556,10.9508267,0,24.2803368,6.63
BEO,ITEX-N,08/15/2012,2.082777,25.985036,5.10865455,1.57348645,27.6240577,12.06
BEO,ITEX-S,08/15/2012,2.349017,27.793556,6.5584,0,22.7451224,12.48
